AGE,ESPAC,B2,MIN_B2,AVG_B2,MAX_B2,StDev_B2
-1,4X1.85,138.5,56.5,104.48975974793225,138.5,27.778234514591002
-1,4X1.85,139.5,56.5,105.53170359052712,139.5,27.986468211999721
-1,4X1.85,187.0,56.5,136.88515406162466,187.0,36.161965324558231
-1,4X1.85,199.0,56.5,143.48662853609522,199.0,38.535870441226756
-1,4X1.85,203.5,56.5,145.15217717717718,203.5,39.197291929589284
0,4X1.85,108.5,108.5,108.5,108.5,0.0
0,4X1.85,146.0,108.5,126.86705202312139,146.0,10.394173127080137
0,4X1.85,157.5,108.5,129.88360277136258,157.5,12.740607933927453
0,4X1.85,158.0,108.5,130.07706422018347,158.0,12.907756067071325
0,4X1.85,174.0,108.5,132.10095114569822,174.0,15.014996510229265
0,4X1.85,245.0,108.5,134.02460050462574,245.0,19.097515745360464
0,4X1.85,265.0,108.5,134.48031001256808,265.0,20.45476860039334
0,4X1.85,398.0,108.5,136.88840579710146,398.0,30.506496078163288
0,4X1.85,405.0,108.5,137.22022332506202,405.0,31.9086341840266
0,4X1.85,465.0,108.5,160.90259740259739,465.0,87.975998616501954
0,4X1.85,470.0,108.5,165.52426636568848,470.0,94.983222940305311
0,4X1.85,472.5,108.5,168.26249067859806,472.5,98.852172638092625
0,4X1.85,504.0,108.5,235.85381668140289,504.0,158.0435131906317
0,4X1.85,505.5,108.5,239.14483260553129,505.5,159.8358097522063
0,4X1.85,523.0,108.5,279.87782188042667,523.0,177.02542160691422
0,4X1.85,537.0,108.5,306.12735953808573,537.0,184.22809517141994
0,4X1.85,540.5,108.5,311.38441502062079,540.5,185.39292789072942
0,4X1.85,542.0,108.5,313.61049011177988,542.0,185.86399975428785
0,4X1.85,545.0,108.5,318.07672849915684,545.0,186.7731599469837
0,4X1.85,574.5,108.5,346.40544812197845,574.5,191.7948403160905
0,4X1.85,579.5,108.5,350.0768526989936,579.5,192.43950377667153
0,4X1.85,603.5,108.5,366.76767762821606,603.5,195.59062516236625
0,4X1.85,618.0,108.5,380.85848450794668,618.0,198.19934088126962
0,4X1.85,644.5,108.5,401.48291856869383,644.5,201.87011255857436
0,4X1.85,650.0,108.5,404.8492374727669,650.0,202.51894033721263
